Country Name,Country Code,Year,GDP_Per_Capita,Female_Usage_Pct,Male_Usage_Pct,Internet_Usage_Pct,Region,Cost_1GB_USD,Affordability_Pct
St. Vincent and the Grenadines,VCT,2000,3768.95536604022,,,3.24504,,,
Venezuela,VEN,2000,4776.2816763938,,,3.3596,SOUTH AMERICA,,
Virgin Islands (U.S.),VIR,2000,,,,13.8151,CARIBBEAN,,
Viet Nam,VNM,2000,404.029784055118,,,0.254248,,,
Vanuatu,VUT,2000,1460.23817692229,,,2.10834,OCEANIA,,
World,WLD,2000,5501.26421816454,,,,,,
Samoa,WSM,2000,1424.75240002471,,,0.566393,OCEANIA,,
Yemen,YEM,2000,493.235182634814,,,0.0825004,NEAR EAST,,
South Africa,ZAF,2000,3217.84693448467,,,5.34856,SUB-SAHARAN AFRICA,,
Zambia,ZMB,2000,359.429500988221,,,0.191072,SUB-SAHARAN AFRICA,,
Zimbabwe,ZWE,2000,562.833757496076,,,0.401434,SUB-SAHARAN AFRICA,,
Aruba,ABW,2001,20740.1325828172,,,17.1,CARIBBEAN,,
Africa Eastern and Southern,AFE,2001,625.82781544115,,,,,,
Afghanistan,AFG,2001,138.706821676113,,,0.00472257,ASIA (EX. NEAR EAST),,
Africa Western and Central,AFW,2001,532.972787221754,,,,,,
Angola,AGO,2001,533.586202412447,,,0.136014,SUB-SAHARAN AFRICA,,
Albania,ALB,2001,1326.41652388077,,,0.325798,EASTERN EUROPE,,
Andorra,AND,2001,23511.2969500881,,,,WESTERN EUROPE,,
Arab World,ARB,2001,2536.69232600737,,,,,,
United Arab Emirates,ARE,2001,27745.1708087672,,,26.2718,NEAR EAST,,
Argentina,ARG,2001,7141.47507662826,,,9.78081,SOUTH AMERICA,,
Armenia,ARM,2001,659.588988535629,,,1.63109,CIS (FORMER USSR),,
Antigua and Barbuda,ATG,2001,11539.1825063308,,,8.89929,CARIBBEAN,,
Australia,AUS,2001,19733.6510102645,,,52.6893,OCEANIA,,
Austria,AUT,2001,24430.495982841,,,39.1855,WESTERN EUROPE,,
Azerbaijan,AZE,2001,703.670998584686,,,0.305565,CIS (FORMER USSR),,
Burundi,BDI,2001,132.159554541932,,,0.106001,SUB-SAHARAN AFRICA,,
Belgium,BEL,2001,23015.0712632462,,,31.2884,WESTERN EUROPE,,
Benin,BEN,2001,492.401499509072,,,0.363418,SUB-SAHARAN AFRICA,,
Burkina Faso,BFA,2001,259.485223380436,,,0.157732,SUB-SAHARAN AFRICA,,
Bangladesh,BGD,2001,394.65641001891,,,0.129808,ASIA (EX. NEAR EAST),,
Bulgaria,BGR,2001,1770.90704918691,,,7.6123,EASTERN EUROPE,,
Bahrain,BHR,2001,13573.2339887597,,,15.0386,NEAR EAST,,
Bahamas,BHS,2001,25371.9237667614,,,11.8,CARIBBEAN,,
Bosnia and Herzegovina,BIH,2001,1387.89362942121,,,1.20053,EASTERN EUROPE,,
Belarus,BLR,2001,1244.37318523431,,,4.30062,CIS (FORMER USSR),,
Belize,BLZ,2001,4718.77715104739,,,,CENTRAL AMERICA,,
Bermuda,BMU,2001,59490.2452034202,,,47.5097,NORTHERN AMERICA,,
Bolivia,BOL,2001,930.168227214313,,,2.12046,SOUTH AMERICA,,
Brazil,BRA,2001,3176.28975052524,,,4.52849,SOUTH AMERICA,,
Barbados,BRB,2001,11639.5160522054,,,11.9365,CARIBBEAN,,
Brunei,BRN,2001,18287.8272281914,,,12.9178,,,
Bhutan,BTN,2001,812.238210772056,,,0.864629,ASIA (EX. NEAR EAST),,
Botswana,BWA,2001,3206.07123689853,,,3.43089,SUB-SAHARAN AFRICA,,
Central African Republic,CAF,2001,237.951702544735,,,0.0785434,SUB-SAHARAN AFRICA,,
